datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
2021_04_07_19_26_40,SH_1000,UCT_1000,UCT_1000,1213,1157,1201,1168
2021_04_07_19_26_40,SHUSS_1000_C16,SHUSS_1000_C64,SHUSS_1000_C64,1245,1285,1236,1293
2021_04_07_19_26_40,SHUSS_1000_C64,SHUSS_1000_C16,SHUSS_1000_C64,1293,1236,1301,1227
2021_04_07_19_26_40,GRAVE_1000,FLAT_1000,GRAVE_1000,1248,1072,1253,1066
2021_04_07_19_26_40,FLAT_1000,GRAVE_1000,GRAVE_1000,1066,1253,1060,1258
2021_04_07_19_26_40,UCT_1000,FLAT_1000,UCT_1000,1168,1060,1174,1053
2021_04_07_19_26_40,FLAT_1000,UCT_1000,UCT_1000,1053,1174,1046,1180
2021_04_07_19_26_40,SHUSS_1000_C16,SHUSS_1000_C256,SHUSS_1000_C16,1227,1263,1238,1251
2021_04_07_19_26_40,SHUSS_1000_C256,SHUSS_1000_C16,SHUSS_1000_C16,1251,1238,1240,1248
2021_04_07_19_26_40,SHUSS_1000_C128,SH_1000,SH_1000,1174,1201,1164,1210
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C128,SHUSS_1000_C128,1210,1164,1198,1175
2021_04_07_19_26_40,SHUSS_1000_C16,RAVE_1000,SHUSS_1000_C16,1248,1139,1254,1132
2021_04_07_19_26_40,RAVE_1000,SHUSS_1000_C16,SHUSS_1000_C16,1132,1254,1125,1260
2021_04_07_19_26_40,SHUSS_1000_C64,SHUSS_1000_C128,SHUSS_1000_C64,1301,1175,1307,1168
2021_04_07_19_26_40,SHUSS_1000_C128,SHUSS_1000_C64,SHUSS_1000_C64,1168,1307,1161,1313
2021_04_07_19_26_40,UCT_1000,RAVE_1000,UCT_1000,1180,1125,1188,1116
2021_04_07_19_26_40,RAVE_1000,UCT_1000,UCT_1000,1116,1188,1108,1195
2021_04_07_19_26_40,SHUSS_1000_C16,SHUSS_1000_C128,SHUSS_1000_C128,1260,1161,1247,1173
2021_04_07_19_26_40,SHUSS_1000_C128,SHUSS_1000_C16,SHUSS_1000_C128,1173,1247,1185,1234
2021_04_07_19_26_40,SHUSS_1000_C64,FLAT_1000,SHUSS_1000_C64,1313,1046,1316,1042
2021_04_07_19_26_40,FLAT_1000,SHUSS_1000_C64,SHUSS_1000_C64,1042,1316,1038,1319
2021_04_07_19_26_40,SHUSS_1000_C64,SH_1000,SHUSS_1000_C64,1319,1198,1325,1191
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C64,SHUSS_1000_C64,1191,1325,1184,1331
2021_04_07_19_26_40,UCT_1000,UCB_1000,UCT_1000,1195,1102,1202,1094
2021_04_07_19_26_40,UCB_1000,UCT_1000,UCB_1000,1094,1202,1107,1188
2021_04_07_19_26_40,GRAVE_1000,UCB_1000,UCB_1000,1258,1107,1243,1121
2021_04_07_19_26_40,UCB_1000,GRAVE_1000,GRAVE_1000,1121,1243,1114,1249
2021_04_07_19_26_40,SHUSS_1000_C128,UCB_1000,SHUSS_1000_C128,1185,1114,1192,1106
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C128,SHUSS_1000_C128,1106,1192,1098,1199
2021_04_07_19_26_40,SHUSS_1000_C256,UCT_1000,SHUSS_1000_C256,1240,1188,1248,1179
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C256,UCT_1000,1179,1248,1190,1236
2021_04_07_19_26_40,SHUSS_1000_C128,SHUSS_1000_C256,SHUSS_1000_C128,1199,1236,1210,1224
2021_04_07_19_26_40,SHUSS_1000_C256,SHUSS_1000_C128,SHUSS_1000_C128,1224,1210,1213,1220
2021_04_07_19_26_40,SHUSS_1000_C256,GRAVE_1000,GRAVE_1000,1213,1249,1204,1257
2021_04_07_19_26_40,GRAVE_1000,SHUSS_1000_C256,SHUSS_1000_C256,1257,1204,1245,1215
2021_04_07_19_26_40,SHUSS_1000_C16,UCB_1000,SHUSS_1000_C16,1234,1098,1240,1091
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C16,SHUSS_1000_C16,1091,1240,1085,1245
2021_04_07_19_26_40,UCT_1000,GRAVE_1000,GRAVE_1000,1190,1245,1181,1253
2021_04_07_19_26_40,GRAVE_1000,UCT_1000,GRAVE_1000,1253,1181,1260,1173
