Unnamed: 0,datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
,2021_04_08_14_15_58,SHUSS_1000_C16,UCT_1000,SHUSS_1000_C16,1254,1214,1262,1205
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C16,UCT_1000,1205,1262,1216,1250
,2021_04_08_14_15_58,SHUSS_1000_C256,UCT_1000,SHUSS_1000_C256,1300,1216,1307,1208
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C256,SHUSS_1000_C256,1208,1307,1200,1314
,2021_04_08_14_15_58,SHUSS_1000_C16,SHUSS_1000_C128,SHUSS_1000_C128,1250,1338,1242,1345
,2021_04_08_14_15_58,SHUSS_1000_C128,SHUSS_1000_C16,SHUSS_1000_C16,1345,1242,1332,1254
,2021_04_08_14_15_58,SHUSS_1000_C64,UCB_1000,SHUSS_1000_C64,1333,1003,1335,1000
,2021_04_08_14_15_58,UCB_1000,SHUSS_1000_C64,SHUSS_1000_C64,1000,1335,997,1337
,2021_04_08_14_15_58,SHUSS_1000_C128,SH_1000,SHUSS_1000_C128,1332,1116,1336,1111
,2021_04_08_14_15_58,SH_1000,SHUSS_1000_C128,SHUSS_1000_C128,1111,1336,1106,1340
,2021_04_08_14_15_58,SH_1000,UCB_1000,SH_1000,1106,997,1112,990
,2021_04_08_14_15_58,UCB_1000,SH_1000,SH_1000,990,1112,983,1118
,2021_04_08_14_15_58,SHUSS_1000_C16,SHUSS_1000_C64,SHUSS_1000_C64,1254,1337,1246,1344
,2021_04_08_14_15_58,SHUSS_1000_C64,SHUSS_1000_C16,SHUSS_1000_C16,1344,1246,1331,1258
,2021_04_08_14_15_58,SHUSS_1000_C128,UCT_1000,SHUSS_1000_C128,1340,1200,1346,1193
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C128,SHUSS_1000_C128,1193,1346,1187,1351
,2021_04_08_14_15_58,SH_1000,FLAT_1000,SH_1000,1118,997,1124,990
,2021_04_08_14_15_58,FLAT_1000,SH_1000,SH_1000,990,1124,983,1130
,2021_04_08_14_15_58,GRAVE_1000,FLAT_1000,FLAT_1000,1146,983,1131,997
,2021_04_08_14_15_58,FLAT_1000,GRAVE_1000,GRAVE_1000,997,1131,990,1137
,2021_04_08_14_15_58,SHUSS_1000_C16,GRAVE_1000,SHUSS_1000_C16,1258,1137,1264,1130
,2021_04_08_14_15_58,GRAVE_1000,SHUSS_1000_C16,SHUSS_1000_C16,1130,1264,1123,1270
,2021_04_08_14_15_58,SHUSS_1000_C256,SH_1000,SHUSS_1000_C256,1314,1130,1319,1124
,2021_04_08_14_15_58,SH_1000,SHUSS_1000_C256,SHUSS_1000_C256,1124,1319,1119,1323
,2021_04_08_14_15_58,SHUSS_1000_C64,SH_1000,SHUSS_1000_C64,1331,1119,1335,1114
,2021_04_08_14_15_58,SH_1000,SHUSS_1000_C64,SHUSS_1000_C64,1114,1335,1109,1339
,2021_04_08_14_15_58,RAVE_1000,FLAT_1000,FLAT_1000,1135,990,1121,1003
,2021_04_08_14_15_58,FLAT_1000,RAVE_1000,RAVE_1000,1003,1121,996,1127
,2021_04_08_14_15_58,SHUSS_1000_C128,RAVE_1000,RAVE_1000,1351,1127,1335,1142
,2021_04_08_14_15_58,RAVE_1000,SHUSS_1000_C128,SHUSS_1000_C128,1142,1335,1137,1339
,2021_04_08_14_15_58,SHUSS_1000_C128,FLAT_1000,SHUSS_1000_C128,1339,996,1341,993
,2021_04_08_14_15_58,FLAT_1000,SHUSS_1000_C128,SHUSS_1000_C128,993,1341,990,1343
,2021_04_08_14_15_58,UCB_1000,FLAT_1000,FLAT_1000,983,990,973,999
,2021_04_08_14_15_58,FLAT_1000,UCB_1000,UCB_1000,999,973,988,983
,2021_04_08_14_15_58,SHUSS_1000_C128,UCB_1000,SHUSS_1000_C128,1343,983,1345,980
,2021_04_08_14_15_58,UCB_1000,SHUSS_1000_C128,SHUSS_1000_C128,980,1345,977,1347
,2021_04_08_14_15_58,SHUSS_1000_C64,SHUSS_1000_C256,SHUSS_1000_C64,1339,1323,1348,1313
,2021_04_08_14_15_58,SHUSS_1000_C256,SHUSS_1000_C64,SHUSS_1000_C64,1313,1348,1304,1356
,2021_04_08_14_15_58,SHUSS_1000_C256,FLAT_1000,SHUSS_1000_C256,1304,988,1306,985
,2021_04_08_14_15_58,FLAT_1000,SHUSS_1000_C256,SHUSS_1000_C256,985,1306,982,1308
,2021_04_08_14_15_58,SHUSS_1000_C64,UCB_1000,SHUSS_1000_C64,1356,977,1358,974
,2021_04_08_14_15_58,UCB_1000,SHUSS_1000_C64,SHUSS_1000_C64,974,1358,972,1359
,2021_04_08_14_15_58,UCT_1000,FLAT_1000,UCT_1000,1187,982,1191,977
,2021_04_08_14_15_58,FLAT_1000,UCT_1000,UCT_1000,977,1191,972,1195
,2021_04_08_14_15_58,SHUSS_1000_C16,SH_1000,SHUSS_1000_C16,1270,1109,1275,1103
,2021_04_08_14_15_58,SH_1000,SHUSS_1000_C16,SHUSS_1000_C16,1103,1275,1097,1280
,2021_04_08_14_15_58,SHUSS_1000_C16,SHUSS_1000_C256,SHUSS_1000_C16,1280,1308,1290,1297
,2021_04_08_14_15_58,SHUSS_1000_C256,SHUSS_1000_C16,SHUSS_1000_C256,1297,1290,1306,1280
,2021_04_08_14_15_58,GRAVE_1000,RAVE_1000,GRAVE_1000,1123,1137,1133,1126
,2021_04_08_14_15_58,RAVE_1000,GRAVE_1000,GRAVE_1000,1126,1133,1116,1142
,2021_04_08_14_15_58,SHUSS_1000_C16,FLAT_1000,SHUSS_1000_C16,1280,972,1282,969
,2021_04_08_14_15_58,FLAT_1000,SHUSS_1000_C16,SHUSS_1000_C16,969,1282,966,1284
,2021_04_08_14_15_58,SHUSS_1000_C64,UCT_1000,SHUSS_1000_C64,1359,1195,1364,1189
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C64,SHUSS_1000_C64,1189,1364,1183,1369
,2021_04_08_14_15_58,SHUSS_1000_C64,RAVE_1000,SHUSS_1000_C64,1369,1116,1372,1112
