white_bot,black_bot,score,time
SHUSS_1000_C16,UCT_1000,0.0,155.2492388719984
UCT_1000,SHUSS_1000_C16,0.0,201.82767235799838
SHUSS_1000_C16,SHUSS_1000_C64,0.0,195.08304572699853
SHUSS_1000_C64,SHUSS_1000_C16,0.0,255.88837512499595
SHUSS_1000_C16,GRAVE_1000,1.0,166.0741291420054
GRAVE_1000,SHUSS_1000_C16,1.0,74.93362445299863
GRAVE_1000,FLAT_1000,1.0,124.5882319999946
FLAT_1000,GRAVE_1000,0.0,295.35668476400315
SHUSS_1000_C256,SH_1000,1.0,138.94327872000576
SH_1000,SHUSS_1000_C256,0.0,72.89597543999844
UCT_1000,GRAVE_1000,0.0,194.851606487995
GRAVE_1000,UCT_1000,0.0,115.79877214300359
UCT_1000,SH_1000,1.0,299.5576476389979
SH_1000,UCT_1000,0.0,150.06059798099886
SH_1000,GRAVE_1000,1.0,250.8347367430033
GRAVE_1000,SH_1000,1.0,93.71297164499993
SH_1000,RAVE_1000,0.0,119.91602361600235
RAVE_1000,SH_1000,1.0,186.18690730699745
SHUSS_1000_C128,SH_1000,0.0,206.36761082599696
SH_1000,SHUSS_1000_C128,0.0,89.51145353000175
SHUSS_1000_C256,UCB_1000,1.0,137.06850033299997
UCB_1000,SHUSS_1000_C256,0.0,142.41793803699693
SHUSS_1000_C256,RAVE_1000,1.0,42.510165745996346
RAVE_1000,SHUSS_1000_C256,0.0,214.20549071999994
SHUSS_1000_C128,GRAVE_1000,1.0,70.30083615899639
GRAVE_1000,SHUSS_1000_C128,0.0,279.25587236200226
RAVE_1000,UCB_1000,1.0,75.52199718799966
UCB_1000,RAVE_1000,0.0,222.3348275679964
SHUSS_1000_C16,UCB_1000,1.0,120.7745721159954
UCB_1000,SHUSS_1000_C16,0.0,70.71316749799735
SHUSS_1000_C16,GRAVE_1000,1.0,475.4447623570013
GRAVE_1000,SHUSS_1000_C16,0.0,288.2739362459979
SHUSS_1000_C128,SH_1000,0.0,147.28808983400086
SH_1000,SHUSS_1000_C128,0.0,28.166214941004
SHUSS_1000_C64,FLAT_1000,1.0,216.91235972900176
FLAT_1000,SHUSS_1000_C64,0.0,102.78810669700033
SHUSS_1000_C128,UCT_1000,1.0,111.45710570200026
UCT_1000,SHUSS_1000_C128,1.0,142.3162053699998
SHUSS_1000_C256,RAVE_1000,1.0,134.27469617899624
RAVE_1000,SHUSS_1000_C256,0.0,131.1413116399999
UCT_1000,UCB_1000,1.0,103.64993446099834
UCB_1000,UCT_1000,0.0,195.32699586799572
GRAVE_1000,FLAT_1000,1.0,453.6606294640005
FLAT_1000,GRAVE_1000,0.0,52.36216023099405
SHUSS_1000_C64,SHUSS_1000_C128,0.0,93.87033638700086
SHUSS_1000_C128,SHUSS_1000_C64,0.0,38.6857288780011
SH_1000,UCB_1000,0.0,265.55211161199986
UCB_1000,SH_1000,0.0,273.4563355809951
SH_1000,GRAVE_1000,0.0,246.04816649499844
GRAVE_1000,SH_1000,0.0,242.10120221599936
SHUSS_1000_C128,RAVE_1000,1.0,203.43587908200425
RAVE_1000,SHUSS_1000_C128,0.0,247.33704800100531
SHUSS_1000_C64,UCB_1000,0.0,78.23205950600095
UCB_1000,SHUSS_1000_C64,0.0,55.19976958799816
SHUSS_1000_C256,SH_1000,1.0,302.45488569699955
SH_1000,SHUSS_1000_C256,1.0,229.7040618739993
SHUSS_1000_C256,UCB_1000,1.0,127.49461984100344
UCB_1000,SHUSS_1000_C256,0.0,192.02089160999458
SHUSS_1000_C128,UCB_1000,1.0,269.1828204249978
UCB_1000,SHUSS_1000_C128,0.0,102.77138736000052
SHUSS_1000_C16,RAVE_1000,0.0,195.099158310004
RAVE_1000,SHUSS_1000_C16,1.0,326.9961296170004
UCT_1000,FLAT_1000,1.0,120.70777530100167
FLAT_1000,UCT_1000,0.0,33.42843923599867
UCT_1000,GRAVE_1000,1.0,375.93673752700124
GRAVE_1000,UCT_1000,1.0,549.4705470129993
SHUSS_1000_C128,SHUSS_1000_C256,0.0,278.7594181220047
SHUSS_1000_C256,SHUSS_1000_C128,0.0,173.08719144800125
SHUSS_1000_C256,GRAVE_1000,1.0,85.59021486599522
GRAVE_1000,SHUSS_1000_C256,0.0,66.78332340899942
SHUSS_1000_C16,SH_1000,0.0,266.0239580730049
SH_1000,SHUSS_1000_C16,0.0,264.8118242979981
SHUSS_1000_C64,UCT_1000,1.0,83.26463894500193
UCT_1000,SHUSS_1000_C64,0.0,259.98258086200076
UCB_1000,FLAT_1000,0.0,246.29129224099597
FLAT_1000,UCB_1000,1.0,263.12406595599896
SHUSS_1000_C16,FLAT_1000,1.0,38.71673406100308
FLAT_1000,SHUSS_1000_C16,0.0,89.98499010999512
SHUSS_1000_C16,UCT_1000,0.0,254.68134151699633
UCT_1000,SHUSS_1000_C16,0.0,300.389551788001
SHUSS_1000_C64,RAVE_1000,,191.450565404004
RAVE_1000,SHUSS_1000_C64,0.0,204.6489495440037
SHUSS_1000_C256,FLAT_1000,1.0,41.59609698499844
FLAT_1000,SHUSS_1000_C256,0.0,83.54810915599955
GRAVE_1000,UCB_1000,1.0,39.533626867996645
UCB_1000,GRAVE_1000,0.0,130.31320857600076
SHUSS_1000_C256,UCT_1000,1.0,178.58537690500089
UCT_1000,SHUSS_1000_C256,1.0,154.66205145700224
SHUSS_1000_C16,SHUSS_1000_C64,0.0,204.78327021400764
SHUSS_1000_C64,SHUSS_1000_C16,0.0,110.37939753499813
UCT_1000,SH_1000,0.0,146.65334475300915
SH_1000,UCT_1000,0.0,287.7289229279995
SH_1000,RAVE_1000,0.0,136.82727228300064
RAVE_1000,SH_1000,0.0,325.35952915399685
SH_1000,FLAT_1000,1.0,147.35421393699653
FLAT_1000,SH_1000,0.0,268.7361134429957
SHUSS_1000_C64,SH_1000,0.0,152.9111712419981
SH_1000,SHUSS_1000_C64,1.0,106.42148389099748
SHUSS_1000_C128,GRAVE_1000,1.0,210.33452036099334
GRAVE_1000,SHUSS_1000_C128,1.0,262.6244408630009
SHUSS_1000_C64,SHUSS_1000_C256,1.0,39.4477793739934
SHUSS_1000_C256,SHUSS_1000_C64,1.0,334.3623529769975
RAVE_1000,FLAT_1000,1.0,94.12025625399838
FLAT_1000,RAVE_1000,0.0,118.10016795499541
SHUSS_1000_C16,SHUSS_1000_C256,0.0,184.33051819000684
SHUSS_1000_C256,SHUSS_1000_C16,0.0,203.62043468300544
SHUSS_1000_C16,SHUSS_1000_C128,1.0,257.30973420299415
SHUSS_1000_C128,SHUSS_1000_C16,0.0,199.46502876401064
UCT_1000,RAVE_1000,1.0,241.66705374399316
RAVE_1000,UCT_1000,0.0,308.9783602499956
SHUSS_1000_C128,FLAT_1000,1.0,52.10891765799897
FLAT_1000,SHUSS_1000_C128,0.0,93.9819692500023
SHUSS_1000_C64,GRAVE_1000,0.0,190.65639700098836
GRAVE_1000,SHUSS_1000_C64,1.0,278.341828574994
GRAVE_1000,RAVE_1000,0.0,261.4230070219928
RAVE_1000,GRAVE_1000,0.0,337.5782570989977
SHUSS_1000_C64,UCB_1000,1.0,130.7238515390054
UCB_1000,SHUSS_1000_C64,0.0,175.66938292900159
SHUSS_1000_C128,GRAVE_1000,1.0,175.0247250990069
GRAVE_1000,SHUSS_1000_C128,1.0,55.31633831899671
SHUSS_1000_C128,UCB_1000,1.0,261.35119015300006
UCB_1000,SHUSS_1000_C128,0.0,72.46944520600664
SHUSS_1000_C64,RAVE_1000,1.0,98.06271906899929
RAVE_1000,SHUSS_1000_C64,0.0,301.5551480129943
UCT_1000,FLAT_1000,1.0,130.72418092501175
FLAT_1000,UCT_1000,0.0,262.92901572601113
SHUSS_1000_C64,FLAT_1000,1.0,72.19564604299376
FLAT_1000,SHUSS_1000_C64,0.0,107.50457291900238
SHUSS_1000_C256,UCT_1000,1.0,318.8613808030059
UCT_1000,SHUSS_1000_C256,0.0,205.0145423510112
GRAVE_1000,UCB_1000,1.0,1629.9137156170036
UCB_1000,GRAVE_1000,1.0,170.10467055499612
SH_1000,GRAVE_1000,0.0,222.49614878300054
GRAVE_1000,SH_1000,1.0,297.689603908002
SHUSS_1000_C16,FLAT_1000,0.0,104.07015930399939
FLAT_1000,SHUSS_1000_C16,0.0,103.75771589600481
SH_1000,UCB_1000,1.0,185.7381676960067
UCB_1000,SH_1000,0.0,241.04793083299592
SHUSS_1000_C64,SHUSS_1000_C128,1.0,198.2212668830034
SHUSS_1000_C128,SHUSS_1000_C64,0.0,283.4045792459947
SHUSS_1000_C16,SH_1000,1.0,36.16791977600951
SH_1000,SHUSS_1000_C16,0.0,98.2310580409976
UCT_1000,SH_1000,0.0,201.3329161020083
SH_1000,UCT_1000,1.0,158.86770958200213
SHUSS_1000_C128,SH_1000,1.0,230.86341573898972
SH_1000,SHUSS_1000_C128,0.0,177.6340899439965
SHUSS_1000_C64,UCT_1000,0.0,116.35153164700023
UCT_1000,SHUSS_1000_C64,0.0,206.11932201699528
GRAVE_1000,RAVE_1000,1.0,563.440824653997
RAVE_1000,GRAVE_1000,1.0,336.10410135598795
UCB_1000,FLAT_1000,1.0,122.2665716670017
FLAT_1000,UCB_1000,1.0,261.24187037600495
SH_1000,RAVE_1000,1.0,295.14599970499694
RAVE_1000,SH_1000,0.0,188.11259669701394
SHUSS_1000_C16,SHUSS_1000_C256,1.0,101.70934433999355
SHUSS_1000_C256,SHUSS_1000_C16,0.0,126.31881498900475
SHUSS_1000_C128,SHUSS_1000_C256,1.0,42.32240802599699
SHUSS_1000_C256,SHUSS_1000_C128,0.0,190.10306290000153
SHUSS_1000_C64,SH_1000,1.0,132.52150920400163
SH_1000,SHUSS_1000_C64,1.0,228.61413918099424
